,All items,Food,Food at home,Cereals and bakery products,"Meats, poultry, fish, and eggs",Dairy and related products,Fruits and vegetables,Nonalcoholic beverages and beverage materials,Other food at home,Food away from home,Energy,Energy commodities,Fuel oil,Motor fuel,Gasoline ,Energy services,Electricity,Utility ,All items less food and energy,Commodities less food and energy commodities,Apparel,New vehicles,Used cars and trucks,Medical care commodities,Alcoholic beverages,Tobacco and smoking products,Services less energy services,Shelter,Rent of primary residence,Owners' equivalent rent of residences,Medical care services,Physicians' services,Hospital services,Transportation services,Motor vehicle maintenance and repair,Motor vehicle insurance,Airline fare,Airline fares
2020-03-01,258.115,262.708,245.163,277.646,254.724,225.627,299.641,174.454,214.565,290.216,199.573,207.215,229.794,203.512,202.205,201.439,211.332,168.994,267.312,144.718,123.815,147.124,140.689,384.498,255.66,1162.66,343.99,324.615,339.519,332.864,557.889,386.483,351.35,321.61,304.131,579.462,,232.113
2020-04-01,256.389,266.757,251.717,285.16,266.263,228.755,304.809,179.235,219.233,290.639,183.081,174.001,194.716,170.378,168.891,200.899,211.04,167.751,266.089,143.613,118.394,147.007,139.411,383.911,256.423,1159.847,342.776,324.522,340.135,333.358,559.994,386.862,352.676,307.25,304.376,534.842,,203.342
2020-05-01,256.394,268.439,253.827,284.937,275.405,230.166,306.798,178.234,218.988,291.709,183.076,173.138,180.999,169.882,168.528,201.752,211.988,168.316,265.799,142.964,114.582,147.222,138.383,384.304,257.713,1156.179,342.801,325.265,340.811,334.052,562.701,389.329,352.287,297.882,305.574,486.761,,201.649
2020-06-01,257.797,269.77,255.042,286.092,281.139,228.437,305.393,179.19,219.311,293.219,193.379,189.613,194.267,186.494,185.422,206.368,218.191,168.267,266.302,142.908,114.734,147.108,136.915,384.259,258.033,1165.761,343.713,325.814,341.294,334.424,564.754,390.718,352.794,303.942,305.736,511.639,,206.066
2020-07-01,259.101,268.863,252.563,285.204,271.028,227.114,306.123,178.167,219.254,294.599,197.665,198.365,203.084,195.317,194.397,206.388,218.82,166.536,267.703,143.696,114.267,147.803,141.493,384.377,256.96,1178.054,345.493,326.58,341.95,335.144,567.299,392.928,353.381,312.938,305.573,558.276,,204.785
2020-08-01,259.918,269.079,252.352,284.472,266.969,231.231,306.754,178.684,219.607,295.437,197.362,198.496,207.623,195.352,194.449,205.636,217.68,166.916,268.756,145.391,116.299,147.412,149.765,385.409,257.678,1180.537,345.936,326.997,342.444,335.763,567.771,393.025,353.332,311.422,307.554,560.623,,199.496
2020-09-01,260.28,269.163,251.369,284.416,265.386,230.656,306.249,177.848,218.358,297.08,198.858,199.741,201.474,196.756,195.888,207.454,218.395,171.873,269.054,146.096,119.354,147.361,152.887,383.031,257.73,1183.975,345.88,327.116,342.91,336.095,567.525,392.474,355.129,308.143,308.198,540.491,,197.424
2020-10-01,260.388,269.828,251.937,284.74,265.796,229.155,309.071,178.4,218.758,297.893,196.458,196.835,202.805,193.647,192.792,205.445,215.57,172.255,269.328,146.261,119.172,147.956,154.381,380.371,258.936,1186.127,346.22,327.273,343.615,336.965,565.999,392.099,354.289,309.965,308.569,531.217,,215.993
2020-11-01,260.229,269.069,250.407,282.782,265.307,229.503,306.311,175.869,217.31,298.253,194.388,192.126,209.579,188.544,187.609,205.921,213.787,179.226,269.473,145.75,116.602,148.063,152.324,378.81,259.995,1192.609,346.884,327.435,344.039,337.247,565.345,392.156,355.164,315.554,309.949,537.765,,223.36
2020-12-01,260.474,270.023,251.253,283.735,264.475,231.74,306.506,177.539,218.534,299.369,198.155,198.997,231.044,194.996,193.99,206.758,214.375,180.767,269.226,145.317,114.434,149.091,150.891,377.921,259.397,1199.508,346.808,327.702,344.455,337.695,564.201,391.807,355.232,312.959,309.888,545.376,,205.983
2021-01-01,261.582,270.938,252.107,282.911,265.922,231.546,309.954,179.789,217.824,300.382,205.273,212.676,243.588,208.387,207.406,207.649,215.242,181.709,269.755,145.973,117.785,149.377,149.659,377.546,259.765,1220.942,347.19,328.282,344.758,338.181,568.778,397.892,358.733,311.312,310.662,551.552,,200.825
2021-02-01,263.014,271.363,252.716,284.095,266.606,230.452,309.993,180.202,219.11,300.54,213.277,227.412,267.613,222.667,221.689,209.296,216.998,183.006,270.696,146.532,119.998,149.515,150.221,374.905,260.011,1228.75,348.361,329.005,345.242,338.918,572.378,405.897,359.521,313.16,311.627,560.386,,197.204
2021-03-01,264.877,271.812,253.231,284.746,268.457,229.249,311.168,180.018,219.263,300.897,225.861,252.84,276.1,248.681,247.652,209.623,216.528,185.624,271.713,147.16,120.746,149.321,153.873,375.111,260.652,1236.352,349.607,330.122,345.717,339.565,573.009,407.048,361.468,316.345,314.66,565.166,,197.134
2021-04-01,267.054,273.09,254.76,285.377,271.459,230.17,314.973,179.57,220.143,301.819,229.116,257.289,267.262,253.648,252.603,211.838,218.627,188.129,273.968,149.915,120.656,149.892,168.647,377.284,261.265,1238.348,351.265,331.354,346.267,340.162,572.108,405.869,361.585,324.519,315.177,567.509,,222.953
2021-05-01,269.195,274.212,255.516,286.649,275.776,230.38,315.748,177.814,219.664,303.481,235.339,267.532,272.99,264.135,263.17,214.335,220.948,191.083,275.893,152.217,120.951,152.143,179.532,377.191,261.711,1240.082,352.721,332.454,347.016,341.095,571.255,405.744,361.285,331.188,314.164,569.01,,250.209
2021-06-01,271.696,276.206,257.412,286.761,282.993,230.152,315.211,179.527,220.221,305.634,240.72,273.459,280.786,269.983,268.979,219.425,226.562,194.563,278.218,155.284,120.324,154.847,198.855,375.697,262.913,1247.577,354.25,334.222,347.833,342.258,570.509,406.812,361.384,335.548,315.209,569.656,,256.684
2021-07-01,273.003,278.127,259.022,289.533,286.994,231.233,312.875,180.136,222.116,308.023,244.8,280.04,282.484,276.65,275.656,221.196,227.672,198.207,279.146,155.873,119.078,157.203,200.425,376.323,263.226,1253.276,355.375,335.812,348.469,343.293,571.934,408.445,363.254,332.917,318.031,567.463,,243.613
2021-08-01,273.567,279.135,259.825,288.99,288.367,230.145,313.672,182.277,222.863,309.336,246.639,281.73,276.557,278.461,277.448,223.272,229.088,202.14,279.507,156.581,121.194,158.652,197.535,375.685,264.315,1254.492,355.423,336.284,349.71,344.327,573.5,408.49,365.843,325.652,320.504,566.183,,212.882
2021-09-01,274.31,281.506,262.695,292.069,293.217,231.973,315.428,184.49,225.141,310.996,248.228,283.095,287.325,279.367,278.338,225.16,229.831,207.29,279.884,156.72,123.406,160.244,190.207,376.842,264.98,1263.542,355.962,337.451,351.255,345.824,572.559,407.266,366.394,321.673,320.446,566.211,,198.975
2021-10-01,276.589,284.205,265.478,294.625,297.377,233.168,318.316,186.387,227.701,313.592,255.338,294.326,322.736,289.665,288.501,228.484,229.641,220.668,281.617,158.55,124.323,162.527,195.213,379.003,264.748,1287.067,357.469,338.671,352.892,347.522,575.493,407.391,368.593,323.903,325.095,564.507,,205.994
2021-11-01,277.948,285.507,266.384,295.909,299.228,233.157,318.436,185.119,229.643,315.481,259.1,302.635,333.899,297.841,296.571,227.874,227.588,224.225,282.754,159.426,122.383,164.511,200.209,379.483,264.957,1298.746,358.722,339.997,354.526,349.152,577.076,408.843,367.479,327.749,325.076,568.239,,215.159
2021-12-01,278.802,286.966,267.555,297.279,297.604,235.442,321.931,186.723,230.809,317.372,256.207,296.391,325.879,291.51,290.185,228.199,227.974,224.366,283.908,160.85,121.068,166.653,207.164,379.611,265.41,1308.024,359.559,341.241,355.931,350.508,578.555,408.644,366.854,326.063,324.688,567.875,,208.954
